name	acts	words	chars	
ZWEITER BRUDER	15	182	995	
DRITTER BRUDER	16	341	1864	
DUMMERCHEN	37	378	1886	
DRITTER BRÜDER	1	10	65	
ERSTER BÜRGER	28	338	1851	
ZWEITER BÜRGER	30	396	2106	
BAUER HINTERSTOISSER	20	500	2619	
REPS	24	233	1370	
KLEPS	22	337	2020	
EIN HEROLD	2	20	105	
VOLK	5	86	495	
KÖNIG	143	4559	24867	
HOFPREDIGER	19	480	2658	
HOFSTAAT	1	7	36	
PLÖTZLICHE STIMME AUS DEM HINTERGRUND	1	9	47	
DER ROTE SEPP	48	2270	12341	
HANS VON MAIKERF	71	1491	8189	
VON DER KRON	31	1410	7621	
HUBELAND	21	315	1717	
OFFIZIER	1	27	164	
VIELE STIMMEN	1	6	34	
DICHTER SYLVAN	1	2	14	
KANZLER	12	266	1452	
KULTUSMINISTER	1	65	416	
DIE BRÜDER DES HANS VON MAIKERF	2	7	33	
VON ZANGEN	9	77	442	
MAIKÄFERFÜRSTIN ARTEMISIA	34	868	4757	
ANDRAKIA	12	214	1157	
MYRRHA	6	43	236	
PHYLLIS	18	222	1190	
ANTHUSA	48	982	5186	
BRUMMORCHESTER	2	114	598	
DER LYRISCHE DICHTER SYLVAN	25	482	2679	
LAINILLA	9	100	551	
DORIS	6	102	552	
STIMME AUS DEM HAUFEN	1	4	18	
ANDRE STIMME	1	9	68	
DRITTE STIMME	1	18	122	
VIELE STIMMEN IM HINTERGRUND	1	5	23	
ANDRE STIMMEN	1	4	18	
STIMME IM HINTERGRUND	1	6	34	
PHRIXA	9	131	704	
TATTABAUCIS	22	694	3738	
KAKODROMIDA	12	100	538	
ANDRE WEIBER	1	6	28	
